Marque,Modèle,Type de Carburant,Puissance Fiscale (CV),Puissance Moteur,Transmission,Consommation Urbaine (L/100 km),Consommation Autoroute (L/100 km),Consommation Mixte (L/100 km),Emissions CO2 (g/km),Catégorie de Véhicule,Cylindrée (L),Cylindres,Consommation Mixte (mpg),masse orde marche min,masse orde marche max
RENAULT,TWINGO 1.2L GPL,GP/ES,4,42.0,M 5,9.7,6.6,7.7,126,,,,,,
RENAULT,KANGOO 1.2L GPL,GP/ES,4,42.0,M 5,10.9,7.8,9.0,145,,,,,,
RENAULT,SCENIC 1.6L 16v GPL,GP/ES,6,76.0,M 5,12.6,7.9,9.6,161,,,,,,
LADA-VAZ,LADA 110 GPL,GP/ES,5,55.0,M 5,13.4,7.9,10.0,165,,,,,,
LADA-VAZ,LADA 111 GPL,GP/ES,5,55.0,M 5,13.4,7.9,10.2,165,,,,,,
LADA-VAZ,LADA 112 GPL,GP/ES,5,55.0,M 5,13.4,7.9,10.0,165,,,,,,
VOLVO,S401.8L GPL,GP/ES,7,85.0,M 5,14.3,8.2,10.4,168,,,,,,
VOLVO,V401.8L GPL,GP/ES,7,85.0,M 5,14.3,8.2,10.4,168,,,,,,
VOLVO,S602.4L (140ch) GPL,GP/ES,9,103.0,M 5,15.8,8.8,11.4,185,,,,,,
VOLVO,S802.4L (140ch) GPL,GP/ES,9,103.0,M 5,16.1,8.9,11.6,187,,,,,,
VOLVO,V702.4L (140ch) GPL,GP/ES,9,103.0,M 5,16.4,9.7,12.2,197,,,,,,
SUBARU,LEGACY BREAK 2.5L GPL,GP/ES,10,113.0,M 5,17.5,9.9,12.6,204,,,,,,
SUBARU,LEGACY OUTBACK 2.5L GPL,GP/ES,10,113.0,M 5,17.5,9.9,12.6,204,,,,,,
SUBARU,FORESTER 2.0L GPL,GP/ES,8,91.0,M 5,18.2,9.9,12.9,206,,,,,,
SUBARU,FORESTER 2.0L GPL BVA,GP/ES,8,91.0,A 4,18.3,10.0,13.0,209,,,,,,
VOLVO,S602.4L (140ch) GPL BVA,GP/ES,9,103.0,A 5,18.5,9.6,12.9,209,,,,,,
SUBARU,LEGACY OUTBACK 2.5L GPL BVA,GP/ES,10,113.0,A 4,17.9,10.4,13.2,212,,,,,,
VOLVO,S802.4L (140ch) GPL BVA,GP/ES,9,103.0,A 5,18.7,10.1,13.3,215,,,,,,
VOLVO,V702.4L (140ch) GPL BVA,GP/ES,9,103.0,A 5,19.0,10.5,13.6,221,,,,,,
LADA-VAZ,LADA NIVA GPL,GP/ES,7,58.0,M 5,19.5,11.4,14.3,242,,,,,,
